train_objective,train_S2_S2VI,train_S2_S2VI-sd,train_S1,train_S1-sd,train_weather,train_weather-sd,train_DEM,train_DEM-sd,train_full,train_missing,epoch,step,val_objective
3.0722832679748535,1.149603009223938,0.2000759392976761,0.844559371471405,0.19046276807785034,1.1516345739364624,0.18252325057983398,0.7401917576789856,0.1849886178970337,0.7189877033233643,1.192285418510437,0,49,
2.630776882171631,1.0718786716461182,0.2657213509082794,0.826042115688324,0.20286408066749573,0.6247218251228333,0.12093116343021393,0.7419349551200867,0.1301853060722351,0.5748966336250305,1.0598105192184448,0,99,
2.38602876663208,0.9287342429161072,0.1876426339149475,0.7781643867492676,0.14084024727344513,0.8225675225257874,0.11373817920684814,0.7159284949302673,0.11628275364637375,0.6249260902404785,0.8101282119750977,0,149,
2.7045493125915527,0.9959415793418884,0.17224177718162537,0.8223053812980652,0.12267958372831345,0.9000533223152161,0.10956975817680359,0.8177037239074707,0.09887360036373138,0.7165213823318481,0.9781861305236816,0,199,
2.385610342025757,0.7757223844528198,0.10905396193265915,0.7894426584243774,0.0907210186123848,0.8716338276863098,0.09069498628377914,0.8130742311477661,0.11259286105632782,0.6784117221832275,0.7939645051956177,0,249,
2.2450320720672607,0.8185316920280457,0.0959121584892273,0.6952189803123474,0.13474169373512268,0.7372247576713562,0.09657508879899979,0.5898329615592957,0.084804005920887,0.5702182054519653,0.8616036176681519,0,299,
2.2587428092956543,0.7570124864578247,0.12854768335819244,0.7622368335723877,0.12653347849845886,0.780931293964386,0.07386618852615356,0.7860673069953918,0.10345747321844101,0.6311594843864441,0.7479203343391418,0,349,
2.0140597820281982,0.7331991195678711,0.07604339718818665,0.6359534859657288,0.10839207470417023,0.783187210559845,0.061133384704589844,0.6487517952919006,0.08115290105342865,0.5961583256721497,0.6359481811523438,0,399,
,,,,,,,,,,,0,436,0.6129838824272156
1.8957997560501099,0.6651001572608948,0.08404075354337692,0.6662268042564392,0.08762047439813614,0.6343683004379272,0.08213905245065689,0.6185902953147888,0.07531845569610596,0.5358758568763733,0.631572961807251,1,449,
2.1437489986419678,0.7445088624954224,0.07782363891601562,0.7167154550552368,0.08277276158332825,0.6842259168624878,0.0653408020734787,0.6610794067382812,0.08484181761741638,0.5982741713523865,0.7661476731300354,1,499,
2.1219265460968018,0.6883823275566101,0.06457317620515823,0.7778213024139404,0.06939101219177246,0.6776366233825684,0.06503091007471085,0.678570568561554,0.06334836781024933,0.6195856928825378,0.7311521768569946,1,549,
2.053748369216919,0.6395131945610046,0.058994971215724945,0.737717866897583,0.061855435371398926,0.6052979230880737,0.047566913068294525,0.6687557697296143,0.04763701558113098,0.5890427827835083,0.7478708028793335,1,599,
2.084442138671875,0.662324070930481,0.0591549389064312,0.7243320941925049,0.04572996497154236,0.698346734046936,0.043492771685123444,0.6735373735427856,0.04465918987989426,0.6220874786376953,0.7244601249694824,1,649,
2.043189525604248,0.7129672169685364,0.06565392017364502,0.697930097579956,0.04430881142616272,0.6722164750099182,0.04485093057155609,0.6303593516349792,0.051644645631313324,0.6102482676506042,0.7029587030410767,1,699,
1.9643117189407349,0.6416923999786377,0.05015042424201965,0.6479282379150391,0.040912989526987076,0.6690646409988403,0.043215472251176834,0.6766676902770996,0.041228629648685455,0.5963615775108337,0.6652351021766663,1,749,
2.106281042098999,0.7686421275138855,0.033187102526426315,0.6800363659858704,0.036825992166996,0.727983295917511,0.03398362547159195,0.7276564240455627,0.027069682255387306,0.684228241443634,0.6632064580917358,1,799,
1.9594241380691528,0.6616154313087463,0.04383198171854019,0.6573581099510193,0.03254147619009018,0.6761053204536438,0.047524575144052505,0.6421443819999695,0.04473540931940079,0.5995543003082275,0.6584058403968811,1,849,
,,,,,,,,,,,1,873,0.6292977929115295
1.9515351057052612,0.6747756004333496,0.03734312206506729,0.680894136428833,0.02095099538564682,0.6958009600639343,0.05060982704162598,0.6212491989135742,0.03656711429357529,0.6194282174110413,0.627559244632721,2,899,
2.058387279510498,0.7017984986305237,0.05058286711573601,0.6597722768783569,0.03199802339076996,0.6982414722442627,0.06053345277905464,0.6868320107460022,0.04446553438901901,0.6253811717033386,0.6994499564170837,2,949,
2.171376943588257,0.7618263959884644,0.04220107942819595,0.6763092875480652,0.034200407564640045,0.7312806844711304,0.04589179903268814,0.6799618601799011,0.046448733657598495,0.6571904420852661,0.7596564888954163,2,999,
2.044506788253784,0.6095882058143616,0.03902456909418106,0.6983448266983032,0.033743567764759064,0.7142652869224548,0.06034582108259201,0.693888247013092,0.04513798654079437,0.622577965259552,0.6983441710472107,2,1049,
2.0794334411621094,0.6979950070381165,0.039028286933898926,0.6977143883705139,0.023001864552497864,0.7241107225418091,0.037759244441986084,0.6343172192573547,0.05297069996595383,0.6403315663337708,0.7123774886131287,2,1099,
2.0232925415039062,0.6945275068283081,0.03851854428648949,0.6661208868026733,0.022032689303159714,0.6872634291648865,0.03911179304122925,0.6713486909866333,0.040531836450099945,0.6352455615997314,0.6731829047203064,2,1149,
2.0176291465759277,0.644037127494812,0.02990872785449028,0.705840528011322,0.024116680026054382,0.6867762207984924,0.03475666418671608,0.6351518034934998,0.029514791443943977,0.6306986808776855,0.6894047856330872,2,1199,
2.0243701934814453,0.6762908697128296,0.02581862546503544,0.6769622564315796,0.02135271020233631,0.6869014501571655,0.034581057727336884,0.6589773297309875,0.03688158839941025,0.6366005539894104,0.6833280920982361,2,1249,
2.0322906970977783,0.6684684157371521,0.02209167554974556,0.6498935222625732,0.020470013841986656,0.6929098963737488,0.02829180285334587,0.6811400055885315,0.02810014598071575,0.6415210962295532,0.6929281949996948,2,1299,
,,,,,,,,,,,2,1310,0.6348275542259216
1.9822787046432495,0.6484335064888,0.02821902558207512,0.6920494437217712,0.018711933866143227,0.6743259429931641,0.02999461628496647,0.684016764163971,0.03452219069004059,0.6402950286865234,0.6394153237342834,3,1349,
2.031423568725586,0.6439855694770813,0.0224357508122921,0.6726154685020447,0.02037683129310608,0.681456983089447,0.024735767394304276,0.701384961605072,0.029296638444066048,0.6444228291511536,0.6879286766052246,3,1399,
2.0155766010284424,0.646230936050415,0.02710430696606636,0.6710346937179565,0.017855752259492874,0.715922474861145,0.02454128861427307,0.6557133793830872,0.030953053385019302,0.6402419805526733,0.6779956221580505,3,1449,
